Price,Address,Area of work,Area of Expertise,For more Details
" Rs.1 - Rs.50,00,000 ","location_on Hosur, India ","I am a working professional, looking for best business opportunities to invest. ","Business Analysis, Product Management, Produc...",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1257311
" Rs.1 - Rs.5,00,000 ","location_on Chennai, India ",I work in the IT sector.,"Tech, Apps",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1257304
" Rs.1 - Rs.1,00,000 ","location_on Kolkata , India ",Pursuing my post graduation (MBA). Looking to invest in something revolutionary.,"Management, Accountancy",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1257090
" Rs.1,00,000 - Rs.50,00,000 ","location_on Noida, India ","Business Analyst at a company that specialises in custom software development, web designing, web development, e-commerce website development, mobile ...",Business Analytics,https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1257007
" Rs.1 - Rs.1,00,00,000 ","location_on Pondicherry, India ",I am an entrepreneur who has founded several restaurants and parlours in Pondicherry.,"Restaurants, Software",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256984
" Rs.1 - Rs.10,00,000 ","location_on Bangalore, India ",Investment Advisor,"Portfolio Management, Client Engagement, Gene...",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256798
" Rs.1 - Rs.1,00,000 ","location_on Delhi, India ",Software Developer,Tech,https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256509
" Rs.1 - Rs.5,00,000 ","location_on Jamshedpur, India ",I have been managing my family business of cullets and glass scraps for the last 2.5 years and am looking for opportunities to invest in.,"Wholesale Business, Finance, Investment",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256503
" Rs.1,00,000 - Rs.1,00,000 ","location_on Bangalore, India ",I have worked in MNCs for the past 8 years asd a Financial Analyst and Senior Process Executive.,"Banking, Finance",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256120
" Rs.1 - Rs.50,00,000 ","location_on Bangaram, India ","Audit Assistant ","Financial Audits, Tax Audits, Internal Audit ...",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1256094
" Rs.1 - Rs.5,00,000 ","location_on Guwahati , India ","I have worked in the FMCG, retail and healthcare industries for the last 7 years. ","Technology ",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1255929
" Rs.1,00,000 - Rs.10,00,000 ","location_on Ahmedabad, India ",I have worked in marketing for the last 5 years,IT,https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1255884
" Rs.1 - Rs.1,00,000 ","location_on Delhi , India ",I am a founder and investor,"Dairy industry, innovation, business developm...",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1255846
" Rs.1 - Rs.50,00,000 ","location_on Tamil Nadu, India ",Software Engineer,"Tech, Agri, Schools, Retail ",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1255259
" Rs.1 - Rs.5,00,000 ","location_on Mumbai, India ",I am an M&A professional at a media firm and have investment banking experience with a big 4.,"Media, Entertainment, Fundraising, Valuation",https://www.investmentnetwork.in/angel-investors/angelinvestors-1-1255217
